log(MSE-PCA-components),comp,log(MSE-PCA-50-components),log(MSE-PCA-55-components),log(MSE-PCA-60-components)
6.569838429,45,,,
6.580180782,45,,,
5.777603947,45,,,
6.541242741,45,,,
6.066019472,45,,,
6.483684103,45,,,
5.051291943,45,,,
3.230014125,45,,,
5.73502233,45,,,
5.709583234,45,,,
3.955103483,45,,,
0.385636846,45,,,
5.495643749,45,,,
6.567394183,45,,,
6.210248297,45,,,
5.346611061,45,,,
5.570856542,45,,,
7.315784957,45,,,
3.813887978,45,,,
6.032939148,45,,,
5.837835073,45,,,
5.079826727,45,,,
7.757269962,45,,,
6.449851732,45,,,
8.383510884,45,,,
3.226429015,45,,,
3.910919186,45,,,
5.924357382,45,,,
5.521369605,45,,,
3.308106214,45,,,
8.513792246,45,,,
5.441736448,45,,,
6.916324431,45,,,
6.609973281,45,,,
6.782184738,45,,,
6.375061289,45,,,
5.888788473,45,,,
4.190524808,45,,,
4.301630004,45,,,
6.246747607,45,,,
5.587714714,45,,,
7.925095284,45,,,
6.32153193,45,,,
7.17865826,45,,,
5.988733809,45,,,
4.761262818,45,,,
6.197716324,45,,,
6.496239477,45,,,
2.297481761,45,,,
6.247830498,45,,,
8.888476995,45,,,
3.750856347,45,,,
2.146878842,45,,,
7.195294435,45,,,
6.338022843,45,,,
5.918342827,45,,,
6.508273183,45,,,
6.46058299,45,,,
4.969508077,45,,,
6.558806043,45,,,
8.045454577,45,,,
6.298080044,45,,,
4.997188767,45,,,
6.338244224,45,,,
3.51865213,45,,,
7.807354675,45,,,
4.543099483,45,,,
4.91560244,45,,,
6.497358244,45,,,
7.408847798,45,,,
6.122596671,45,,,
1.650270649,45,,,
5.501064374,45,,,
6.591549372,45,,,
6.529992582,45,,,
5.324104068,45,,,
6.260871065,45,,,
3.679748615,45,,,
7.093089553,45,,,
6.450671707,45,,,
4.084522209,45,,,
7.539923935,45,,,
6.304974298,45,,,
4.364271988,45,,,
3.719456521,45,,,
6.628674012,45,,,
5.789077618,45,,,
4.404926035,45,,,
5.131286482,45,,,
5.761569463,45,,,
3.78216962,45,,,
6.462683325,45,,,
5.133141587,45,,,
5.772887902,45,,,
3.748519489,45,,,
6.775185826,45,,,
5.066321559,45,,,
6.212529004,45,,,
7.528562894,45,,,
5.402125714,45,,,
2.643999842,45,,,
8.571727606,45,,,
5.419068405,45,,,
5.776459348,45,,,
4.136124838,45,,,
8.442640845,45,,,
5.339121685,45,,,
6.948018431,45,,,
5.855212171,45,,,
4.719978968,45,,,
5.239655829,45,,,
7.162768548,45,,,
6.110377586,45,,,
9.307232545,45,,,
7.337872487,45,,,
6.848043291,45,,,
6.257039939,45,,,
4.851454794,45,,,
5.722513421,45,,,
8.664454462,45,,,
7.920765204,45,,,
6.98385896,45,,,
6.132965143,45,,,
3.797630669,45,,,
4.586202211,45,,,
3.648615442,45,,,
5.896899844,45,,,
5.7041054,45,,,
3.424097031,45,,,
6.881472697,45,,,
7.801079209,45,,,
3.500099403,45,,,
7.344662976,45,,,
4.522312878,45,,,
6.599873883,45,,,
5.215592748,45,,,
4.202542464,45,,,
2.751435314,45,,,
5.911423588,45,,,
6.371993505,45,,,
6.954036777,45,,,
6.082494123,45,,,
5.540639116,45,,,
5.317019634,45,,,
7.021565903,45,,,
6.705061672,45,,,
6.666799339,45,,,
6.994739756,45,,,
5.866474109,45,,,
5.158176129,45,,,
5.981543055,45,,,
6.167638458,45,,,
4.985757051,45,,,
4.230199044,45,,,
4.35626916,45,,,
6.332470016,45,,,
6.05037973,45,,,
3.835909286,45,,,
7.613907394,45,,,
7.289457922,45,,,
5.254794578,45,,,
7.489712813,45,,,
7.55921794,45,,,
7.671387338,45,,,
3.939343819,45,,,
3.874003109,45,,,
4.652298814,45,,,
4.829166767,45,,,
6.870674472,45,,,
3.836063391,45,,,
6.841896437,45,,,
6.371449204,45,,,
4.864142191,45,,,
7.892547707,45,,,
4.005229422,45,,,
4.552393441,45,,,
5.445730772,45,,,
4.170172373,45,,,
7.448056774,45,,,
5.383433103,45,,,
7.9191049,45,,,
6.142432219,45,,,
4.051861902,45,,,
5.748604661,45,,,
5.507157882,45,,,
8.708408003,45,,,
3.715757638,45,,,
7.243567715,45,,,
4.06706597,45,,,
7.036849897,45,,,
5.197186108,45,,,
4.874113945,45,,,
6.553378935,45,,,
2.96722146,45,,,
7.210104146,45,,,
7.465483938,45,,,
6.844815219,45,,,
5.398805573,45,,,
7.675504686,45,,,
4.972413341,45,,,
5.357796744,45,,,
3.057807761,45,,,
5.226117082,45,,,
4.697214095,45,,,
8.667697749,45,,,
4.741656346,45,,,
8.699228379,45,,,
4.760071099,45,,,
3.992402383,45,,,
4.132610559,45,,,
4.845208183,45,,,
6.25680056,45,,,
6.509281687,45,,,
5.070185311,45,,,
3.062315526,45,,,
5.951061088,45,,,
5.481278634,45,,,
1.654509653,45,,,
6.651225652,45,,,
6.339175388,45,,,
2.093609575,45,,,
4.558206623,45,,,
2.548721547,45,,,
5.054613922,45,,,
2.52987774,45,,,
3.159587819,45,,,
8.272055941,45,,,
5.113947082,45,,,
7.385932278,45,,,
8.167189635,45,,,
5.582623538,45,,,
7.82752717,45,,,
6.649721049,45,,,
3.570301358,45,,,
