log(MSE-ICA-components),comp
2.610194772,45
4.831038903,45
6.8805818,45
6.442894555,45
-0.25484106,45
6.800122524,45
6.678258389,45
6.383221678,45
4.403480821,45
5.588517761,45
6.980909376,45
-0.386998068,45
5.527656286,45
4.915787115,45
7.860752292,45
4.811570218,45
5.879362404,45
6.174585313,45
6.39098922,45
4.898802462,45
4.900438613,45
6.026634589,45
6.559058937,45
5.479304288,45
3.855254674,45
6.74557606,45
7.907436596,45
8.184944086,45
5.798935985,45
6.630672052,45
5.373862082,45
3.053911064,45
5.976355983,45
6.122718788,45
4.900888273,45
6.419192252,45
7.086781413,45
7.51721187,45
3.235845884,45
