log(MSE-Trunc-SVD-components),comp
1.260752729,45
7.318842341,45
5.580623764,45
5.690352907,45
6.685090682,45
4.174468725,45
1.853204737,45
5.017015148,45
7.068628802,45
8.190863793,45
8.269779527,45
4.225162793,45
5.857572197,45
6.647415974,45
4.405022035,45
6.099033583,45
5.305363483,45
5.130560583,45
6.522565238,45
8.215578688,45
5.742250382,45
6.790930818,45
5.909326958,45
4.102141843,45
4.65165143,45
6.26432638,45
6.631061261,45
7.487617203,45
7.137070324,45
4.256036619,45
7.548579357,45
6.393377414,45
4.05531424,45
6.761918469,45
5.915037686,45
6.650438098,45
3.676884199,45
3.95105502,45
6.959048745,45
6.889211382,45
2.199130109,45
2.993245817,45
6.894992416,45
4.904583373,45
5.393130541,45
5.528216732,45
6.963287972,45
5.078656285,45
4.02382028,45
4.72732192,45
4.968680435,45
7.131079844,45
7.293162804,45
6.393866982,45
6.74252208,45
4.666014941,45
5.087381465,45
7.311465552,45
5.150513727,45
5.669680381,45
2.744931825,45
6.155771163,45
4.062055721,45
3.282781478,45
6.722888463,45
6.262886512,45
6.87747408,45
6.261967767,45
5.067873559,45
7.663274039,45
9.072614867,45
5.28700052,45
4.489508655,45
5.351163075,45
4.874464283,45
3.778767802,45
4.655926509,45
7.456535835,45
5.842529569,45
6.504422981,45
4.742224077,45
5.793067245,45
4.865440397,45
7.497249419,45
5.923355246,45
4.278760947,45
6.261888043,45
5.653310462,45
7.719433967,45
7.845426522,45
2.687183776,45
6.192760169,45
5.788082792,45
6.548996561,45
5.177358153,45
4.493649582,45
5.512021179,45
9.100843947,45
5.23517785,45
5.555258651,45
6.359878259,45
1.632926962,45
5.409383695,45
6.130923258,45
6.844983166,45
6.415779401,45
4.789516567,45
4.839165773,45
7.080645586,45
5.818157247,45
7.359209857,45
7.080446439,45
4.386719319,45
5.276878868,45
4.363703934,45
6.218972249,45
8.716339544,45
5.526517387,45
4.465951439,45
7.235811803,45
7.393107913,45
6.36678095,45
8.190191541,45
6.064099845,45
7.707165009,45
5.395445573,45
5.690450384,45
2.995451472,45
8.065987338,45
7.39161483,45
5.62718554,45
5.557990589,45
5.847188512,45
4.579334854,45
5.416767091,45
6.541306117,45
5.821636083,45
5.070312872,45
5.709317968,45
5.9228423,45
6.947141976,45
4.669121501,45
3.784314471,45
7.126760751,45
5.973352831,45
8.331192278,45
6.882031051,45
6.746295879,45
7.138341524,45
7.995503926,45
4.285708333,45
7.775702598,45
7.205368152,45
2.73311491,45
7.188686885,45
3.828084959,45
6.414783443,45
4.11308669,45
6.279458299,45
2.851638529,45
4.013517966,45
7.449182554,45
5.431827921,45
-0.532071247,45
5.734277748,45
4.658089706,45
5.63390682,45
6.539771381,45
4.87725642,45
6.985995065,45
6.560529007,45
2.167217473,45
5.828004336,45
3.65809386,45
5.079532797,45
4.092094413,45
6.954942087,45
6.230331011,45
6.565818668,45
7.329909538,45
7.764183072,45
6.939518663,45
5.687116193,45
8.460383725,45
5.418082757,45
6.94392313,45
5.611350884,45
5.815200398,45
7.917836298,45
1.627031261,45
5.388828605,45
7.220167727,45
5.679124568,45
7.822791031,45
3.873425682,45
4.062401845,45
5.900542028,45
7.319718071,45
5.284519456,45
5.747133105,45
5.633981815,45
4.677619865,45
6.650147001,45
6.736300743,45
2.331961958,45
6.024208063,45
5.798081272,45
5.08371156,45
7.562243386,45
7.214784512,45
6.643240007,45
6.853422687,45
7.234379399,45
3.341779733,45
5.013737776,45
5.537995943,45
3.112204229,45
8.459524767,45
3.257862347,45
8.50619441,45
8.154648713,45
5.047297771,45
5.100824109,45
5.06896015,45
7.125706418,45
5.517705217,45
7.664993872,45
6.016854318,45
5.055046737,45
5.762793078,45
6.127060001,45
6.655683401,45
5.700831449,45
6.638981468,45
6.208926461,45
6.148160791,45
2.506972296,45
4.239400535,45
6.471354288,45
4.31664975,45
5.636054683,45
1.342359183,45
6.997201911,45
4.357457205,45
4.796828361,45
7.354127495,45
2.956618122,45
4.805609198,45
5.246453231,45
6.546651882,45
3.038234984,45
4.528511473,45
4.39753345,45
6.640952026,45
4.16231447,45
2.050264823,45
4.855463551,45
6.547283485,45
6.163479682,45
5.666368186,45
4.075059608,45
6.061586166,45
6.222518743,45
6.603424581,45
6.07661255,45
5.848422918,45
7.152762607,45
8.395537808,45
4.405462399,45
5.441972398,45
5.230559884,45
5.965462716,45
4.836601927,45
5.904554636,45
3.251890468,45
5.451811376,45
4.940678475,45
6.137343632,45
4.727234004,45
6.765967959,45
4.161427822,45
6.407403029,45
6.754992803,45
5.562236935,45
7.790970172,45
5.904042944,45
8.86005883,45
6.523933736,45
7.874520721,45
3.119576682,45
3.189825097,45
4.865968848,45
4.591324006,45
6.1966421,45
6.589206512,45
8.018996586,45
5.056687824,45
8.257464218,45
2.151968708,45
4.644504453,45
6.225774857,45
7.527749171,45
2.124946767,45
0.453458592,45
6.819931272,45
5.742574383,45
5.095509031,45
5.996498813,45
6.382103208,45
7.894329744,45
4.325104906,45
6.994854349,45
8.576143164,45
4.876069838,45
5.102506803,45
7.655925499,45
5.947968812,45
4.823017756,45
4.624879311,45
4.829630131,45
5.043398931,45
3.278015544,45
7.295648868,45
4.550018783,45
7.62579748,45
6.583282332,45
1.932042286,45
3.954776044,45
5.525668424,45
1.682547462,45
5.553275297,45
2.60951808,45
4.853171875,45
6.895290433,45
6.446207255,45
-0.189254715,45
6.594806855,45
6.688063481,45
6.385561443,45
4.394169183,45
7.171345469,45
6.972017406,45
-0.378005925,45
4.298640755,45
4.943810851,45
7.880035857,45
4.78194495,45
5.922877926,45
6.183769677,45
6.415186011,45
4.823996325,45
4.915608593,45
5.212380713,45
6.565666024,45
5.490737211,45
3.868799002,45
6.729372038,45
7.905737846,45
8.166627378,45
5.808968598,45
6.645008263,45
5.447123108,45
3.026552759,45
5.960838698,45
6.109247142,45
4.908785364,45
